date,place,hot,rain,snow
2218-12-01,Фалькония,0,1,0
2218-12-02,Фалькония,0,1,0
2218-12-03,Фалькония,0,0,0
2218-12-04,Фалькония,0,0,1
2218-12-05,Фалькония,0,0,0
2218-12-06,Фалькония,0,0,0
2218-12-07,Фалькония,1,0,0
2218-12-08,Фалькония,0,0,0
2218-12-09,Фалькония,1,0,0
2218-12-10,Фалькония,0,0,0
2218-12-11,Фалькония,0,0,0
2218-12-12,Фалькония,0,1,0
2218-12-13,Фалькония,1,0,0
2218-12-14,Фалькония,1,0,0
2218-12-15,Фалькония,0,0,1
2218-12-16,Фалькония,1,0,0
2218-12-17,Фалькония,0,0,1
2218-12-18,Фалькония,0,0,0
2218-12-19,Фалькония,0,0,0
2218-12-20,Фалькония,0,1,0
2218-12-21,Фалькония,0,0,1
2218-12-22,Фалькония,0,0,0
2218-12-23,Фалькония,0,0,0
2218-12-24,Фалькония,0,0,0
2218-12-25,Фалькония,0,0,1
2218-12-26,Фалькония,0,0,0
2218-09-28,Анор Лондо,0,0,0
2218-09-29,Анор Лондо,1,0,0
2218-09-30,Анор Лондо,0,0,0
2218-10-01,Анор Лондо,0,1,0
2218-10-02,Анор Лондо,0,0,0
2218-10-03,Анор Лондо,0,0,0
2218-10-04,Анор Лондо,0,0,0
2218-10-05,Анор Лондо,0,0,0
2218-10-06,Анор Лондо,0,0,0
2218-10-07,Анор Лондо,0,1,0
2218-10-08,Анор Лондо,0,0,0
2218-10-09,Анор Лондо,0,1,0
2218-10-10,Анор Лондо,0,0,0
2218-10-11,Анор Лондо,1,0,0
2218-10-12,Анор Лондо,0,0,1
2218-10-13,Анор Лондо,0,1,0
2218-10-14,Анор Лондо,0,0,1
2218-10-15,Анор Лондо,1,0,0
2218-10-16,Анор Лондо,0,1,0
2218-10-17,Анор Лондо,0,1,0
2218-10-18,Анор Лондо,1,0,0
2218-10-19,Анор Лондо,0,0,0
2218-10-20,Анор Лондо,1,0,0
2218-10-21,Анор Лондо,0,1,0
2218-10-22,Анор Лондо,0,0,0
2218-10-23,Анор Лондо,0,0,0
2218-10-24,Анор Лондо,0,0,0
2218-10-25,Анор Лондо,0,0,1
2218-10-26,Анор Лондо,0,1,0
2218-10-27,Анор Лондо,0,1,0
2218-10-28,Анор Лондо,0,0,0
2218-10-29,Анор Лондо,0,0,0
2218-10-30,Анор Лондо,0,0,0
2218-10-31,Анор Лондо,0,0,0
2218-11-01,Анор Лондо,0,0,1
2218-11-02,Анор Лондо,0,0,1
2218-11-03,Анор Лондо,0,0,1
2218-11-04,Анор Лондо,0,0,0
2218-11-05,Анор Лондо,0,0,0
2218-11-06,Анор Лондо,0,0,0
2218-11-07,Анор Лондо,0,0,1
2218-11-08,Анор Лондо,0,0,0
2218-11-09,Анор Лондо,0,0,0
2218-11-10,Анор Лондо,0,0,0
2218-11-11,Анор Лондо,1,0,0
2218-11-12,Анор Лондо,0,0,0
2218-11-13,Анор Лондо,1,0,0
2218-11-14,Анор Лондо,0,1,0
2218-11-15,Анор Лондо,0,0,0
2218-11-16,Анор Лондо,0,0,0
2218-11-17,Анор Лондо,1,0,0
2218-11-18,Анор Лондо,0,0,0
2218-11-19,Анор Лондо,0,0,0
2218-11-20,Анор Лондо,0,0,0
2218-11-21,Анор Лондо,0,0,0
2218-11-22,Анор Лондо,0,1,0
2218-11-23,Анор Лондо,0,0,0
2218-11-24,Анор Лондо,1,0,0
2218-11-25,Анор Лондо,0,0,0
2218-11-26,Анор Лондо,0,0,0
2218-11-27,Анор Лондо,1,0,0
2218-11-28,Анор Лондо,1,0,0
2218-11-29,Анор Лондо,0,1,0
2218-11-30,Анор Лондо,0,0,0
2218-12-01,Анор Лондо,0,0,0
2218-12-02,Анор Лондо,1,0,0
2218-12-03,Анор Лондо,0,0,0
2218-12-04,Анор Лондо,0,0,1
2218-12-05,Анор Лондо,0,0,0
2218-12-06,Анор Лондо,0,0,1
2218-12-07,Анор Лондо,0,0,0
2218-12-08,Анор Лондо,0,1,0
2218-12-09,Анор Лондо,0,0,1
2218-12-10,Анор Лондо,1,0,0
2218-12-11,Анор Лондо,0,1,0
2218-12-12,Анор Лондо,0,0,0
2218-12-13,Анор Лондо,0,0,0
2218-12-14,Анор Лондо,0,0,0
2218-12-15,Анор Лондо,0,0,0
2218-12-16,Анор Лондо,0,1,0
2218-12-17,Анор Лондо,0,0,0
2218-12-18,Анор Лондо,0,0,0
2218-12-19,Анор Лондо,1,0,0
2218-12-20,Анор Лондо,1,0,0
2218-12-21,Анор Лондо,0,0,1
2218-12-22,Анор Лондо,0,0,0
2218-12-23,Анор Лондо,1,0,0
2218-12-24,Анор Лондо,0,0,0
2218-12-25,Анор Лондо,0,0,1
2218-12-26,Анор Лондо,0,0,0
2218-09-28,Врата Балдура,1,0,0
2218-09-29,Врата Балдура,1,0,0
2218-09-30,Врата Балдура,0,0,1
2218-10-01,Врата Балдура,0,0,0
2218-10-02,Врата Балдура,0,0,1
2218-10-03,Врата Балдура,0,0,0
2218-10-04,Врата Балдура,0,1,0
2218-10-05,Врата Балдура,0,0,0
2218-10-06,Врата Балдура,0,0,0
2218-10-07,Врата Балдура,0,1,0
2218-10-08,Врата Балдура,0,0,0
2218-10-09,Врата Балдура,0,1,0
2218-10-10,Врата Балдура,0,0,1
2218-10-11,Врата Балдура,1,0,0
2218-10-12,Врата Балдура,0,0,1
2218-10-13,Врата Балдура,1,0,0
2218-10-14,Врата Балдура,0,0,0
2218-10-15,Врата Балдура,0,0,0
2218-10-16,Врата Балдура,0,0,1
2218-10-17,Врата Балдура,0,1,0
2218-10-18,Врата Балдура,0,0,0
2218-10-19,Врата Балдура,0,0,1
2218-10-20,Врата Балдура,0,0,1
2218-10-21,Врата Балдура,0,0,1
2218-10-22,Врата Балдура,0,0,0
2218-10-23,Врата Балдура,0,0,0
2218-10-24,Врата Балдура,1,0,0
2218-10-25,Врата Балдура,0,0,0
2218-10-26,Врата Балдура,0,1,0
2218-10-27,Врата Балдура,0,0,0
2218-10-28,Врата Балдура,1,0,0
2218-10-29,Врата Балдура,0,0,1
2218-10-30,Врата Балдура,0,1,0
2218-10-31,Врата Балдура,0,1,0
2218-11-01,Врата Балдура,0,0,1
2218-11-02,Врата Балдура,0,0,1
2218-11-03,Врата Балдура,0,0,1
2218-11-04,Врата Балдура,0,1,0
2218-11-05,Врата Балдура,0,0,0
2218-11-06,Врата Балдура,0,0,1
2218-11-07,Врата Балдура,0,0,1
2218-11-08,Врата Балдура,1,0,0
2218-11-09,Врата Балдура,0,0,0
2218-11-10,Врата Балдура,0,0,0
2218-11-11,Врата Балдура,0,0,0
2218-11-12,Врата Балдура,1,0,0
2218-11-13,Врата Балдура,1,0,0
2218-11-14,Врата Балдура,0,0,1
2218-11-15,Врата Балдура,0,1,0
2218-11-16,Врата Балдура,0,0,0
2218-11-17,Врата Балдура,1,0,0
2218-11-18,Врата Балдура,0,0,0
2218-11-19,Врата Балдура,0,0,0
2218-11-20,Врата Балдура,0,0,0
2218-11-21,Врата Балдура,0,1,0
2218-11-22,Врата Балдура,0,0,0
2218-11-23,Врата Балдура,1,0,0
2218-11-24,Врата Балдура,0,0,1
2218-11-25,Врата Балдура,0,0,0
2218-11-26,Врата Балдура,0,0,0
2218-11-27,Врата Балдура,0,0,1
2218-11-28,Врата Балдура,0,1,0
2218-11-29,Врата Балдура,1,0,0
2218-11-30,Врата Балдура,0,1,0
2218-12-01,Врата Балдура,0,0,0
2218-12-02,Врата Балдура,0,1,0
2218-12-03,Врата Балдура,0,0,0
2218-12-04,Врата Балдура,1,0,0
2218-12-05,Врата Балдура,0,0,0
2218-12-06,Врата Балдура,0,0,0
2218-12-07,Врата Балдура,0,1,0
2218-12-08,Врата Балдура,0,1,0
2218-12-09,Врата Балдура,0,0,0
2218-12-10,Врата Балдура,0,0,0
2218-12-11,Врата Балдура,0,0,1
2218-12-12,Врата Балдура,0,1,0
2218-12-13,Врата Балдура,0,1,0
2218-12-14,Врата Балдура,0,1,0
2218-12-15,Врата Балдура,0,1,0
2218-12-16,Врата Балдура,0,0,0
2218-12-17,Врата Балдура,0,0,1
2218-12-18,Врата Балдура,0,0,0
2218-12-19,Врата Балдура,0,1,0
2218-12-20,Врата Балдура,0,0,1
2218-12-21,Врата Балдура,1,0,0
2218-12-22,Врата Балдура,0,0,1
2218-12-23,Врата Балдура,0,0,0
2218-12-24,Врата Балдура,0,0,0
2218-12-25,Врата Балдура,0,1,0
2218-12-26,Врата Балдура,1,0,0
2218-09-28,Нокрон,1,0,0
2218-09-29,Нокрон,1,0,0
2218-09-30,Нокрон,0,1,0
2218-10-01,Нокрон,0,0,0
2218-10-02,Нокрон,1,0,0
2218-10-03,Нокрон,0,1,0
2218-10-04,Нокрон,0,0,1
2218-10-05,Нокрон,0,0,0
2218-10-06,Нокрон,0,0,0
2218-10-07,Нокрон,0,0,1
2218-10-08,Нокрон,0,0,0
2218-10-09,Нокрон,0,1,0
2218-10-10,Нокрон,0,0,0
2218-10-11,Нокрон,0,1,0
2218-10-12,Нокрон,0,0,0
2218-10-13,Нокрон,0,0,0
2218-10-14,Нокрон,0,0,1
2218-10-15,Нокрон,1,0,0
2218-10-16,Нокрон,0,0,0
2218-10-17,Нокрон,0,1,0
2218-10-18,Нокрон,0,0,1
2218-10-19,Нокрон,0,0,0
2218-10-20,Нокрон,0,0,0
2218-10-21,Нокрон,0,0,0
2218-10-22,Нокрон,0,0,1
2218-10-23,Нокрон,0,0,0
2218-10-24,Нокрон,0,0,0
2218-10-25,Нокрон,0,0,0
2218-10-26,Нокрон,1,0,0
2218-10-27,Нокрон,0,0,0
2218-10-28,Нокрон,1,0,0
2218-10-29,Нокрон,0,0,1
2218-10-30,Нокрон,1,0,0
2218-10-31,Нокрон,0,1,0
2218-11-01,Нокрон,0,0,0
2218-11-02,Нокрон,0,1,0
2218-11-03,Нокрон,1,0,0
2218-11-04,Нокрон,0,0,0
2218-11-05,Нокрон,1,0,0
2218-11-06,Нокрон,0,0,0
2218-11-07,Нокрон,1,0,0
2218-11-08,Нокрон,0,0,0
2218-11-09,Нокрон,0,0,0
2218-11-10,Нокрон,0,0,0
2218-11-11,Нокрон,0,0,0
2218-11-12,Нокрон,0,0,0
2218-11-13,Нокрон,0,0,0
2218-11-14,Нокрон,0,0,0
2218-11-15,Нокрон,0,0,1
2218-11-16,Нокрон,0,0,1
2218-11-17,Нокрон,0,0,0
2218-11-18,Нокрон,0,0,0
2218-11-19,Нокрон,0,0,1
2218-11-20,Нокрон,0,0,0
2218-11-21,Нокрон,0,1,0
2218-11-22,Нокрон,0,1,0
2218-11-23,Нокрон,0,0,0
2218-11-24,Нокрон,0,0,0
2218-11-25,Нокрон,0,0,0
2218-11-26,Нокрон,0,0,0
2218-11-27,Нокрон,0,1,0
2218-11-28,Нокрон,0,0,0
2218-11-29,Нокрон,0,0,0
2218-11-30,Нокрон,0,0,0
2218-12-01,Нокрон,0,0,0
2218-12-02,Нокрон,1,0,0
2218-12-03,Нокрон,0,0,0
2218-12-04,Нокрон,1,0,0
2218-12-05,Нокрон,0,0,1
2218-12-06,Нокрон,0,0,1
2218-12-07,Нокрон,0,1,0
2218-12-08,Нокрон,0,1,0
2218-12-09,Нокрон,0,0,0
2218-12-10,Нокрон,0,0,0
2218-12-11,Нокрон,0,0,1
2218-12-12,Нокрон,0,0,1
2218-12-13,Нокрон,0,0,0
2218-12-14,Нокрон,0,0,0
2218-12-15,Нокрон,0,0,0
2218-12-16,Нокрон,0,1,0
2218-12-17,Нокрон,0,0,0
2218-12-18,Нокрон,0,0,0
2218-12-19,Нокрон,1,0,0
2218-12-20,Нокрон,0,0,0
2218-12-21,Нокрон,0,0,0
2218-12-22,Нокрон,0,0,0
2218-12-23,Нокрон,0,0,0
2218-12-24,Нокрон,0,0,0
2218-12-25,Нокрон,0,0,0
2218-12-26,Нокрон,0,0,1
2218-09-28,Кеджистан,1,0,0
2218-09-29,Кеджистан,0,0,0
2218-09-30,Кеджистан,0,0,1
2218-10-01,Кеджистан,0,0,0
2218-10-02,Кеджистан,0,0,0
2218-10-03,Кеджистан,1,0,0
2218-10-04,Кеджистан,0,0,0
2218-10-05,Кеджистан,0,0,1
2218-10-06,Кеджистан,0,1,0
2218-10-07,Кеджистан,0,0,0
2218-10-08,Кеджистан,0,0,1
2218-10-09,Кеджистан,0,0,0
2218-10-10,Кеджистан,0,0,0
2218-10-11,Кеджистан,0,0,1
2218-10-12,Кеджистан,0,0,0
2218-10-13,Кеджистан,1,0,0
2218-10-14,Кеджистан,1,0,0
2218-10-15,Кеджистан,0,0,1
2218-10-16,Кеджистан,0,0,0
2218-10-17,Кеджистан,0,0,0
2218-10-18,Кеджистан,0,0,0
2218-10-19,Кеджистан,0,0,0
2218-10-20,Кеджистан,0,0,1
2218-10-21,Кеджистан,1,0,0
2218-10-22,Кеджистан,0,0,0
2218-10-23,Кеджистан,0,1,0
2218-10-24,Кеджистан,0,1,0
2218-10-25,Кеджистан,0,0,1
2218-10-26,Кеджистан,1,0,0
2218-10-27,Кеджистан,1,0,0
2218-10-28,Кеджистан,0,1,0
2218-10-29,Кеджистан,1,0,0
2218-10-30,Кеджистан,0,1,0
2218-10-31,Кеджистан,0,0,0
2218-11-01,Кеджистан,0,0,0
2218-11-02,Кеджистан,0,0,1
2218-11-03,Кеджистан,0,1,0
2218-11-04,Кеджистан,0,0,0
2218-11-05,Кеджистан,0,0,1
2218-11-06,Кеджистан,0,0,0
2218-11-07,Кеджистан,0,1,0
2218-11-08,Кеджистан,0,1,0
2218-11-09,Кеджистан,0,0,1
2218-11-10,Кеджистан,0,1,0
2218-11-11,Кеджистан,0,0,1
2218-11-12,Кеджистан,0,0,1
2218-11-13,Кеджистан,0,0,0
2218-11-14,Кеджистан,1,0,0
2218-11-15,Кеджистан,1,0,0
2218-11-16,Кеджистан,0,0,0
2218-11-17,Кеджистан,0,0,0
2218-11-18,Кеджистан,0,0,0
2218-11-19,Кеджистан,0,0,1
2218-11-20,Кеджистан,0,0,0
2218-11-21,Кеджистан,0,0,0
2218-11-22,Кеджистан,0,0,0
2218-11-23,Кеджистан,0,1,0
2218-11-24,Кеджистан,0,0,0
2218-11-25,Кеджистан,0,0,1
2218-11-26,Кеджистан,0,0,0
2218-11-27,Кеджистан,0,1,0
2218-11-28,Кеджистан,0,0,0
2218-11-29,Кеджистан,0,1,0
2218-11-30,Кеджистан,1,0,0
2218-12-01,Кеджистан,0,0,0
2218-12-02,Кеджистан,0,0,1
2218-12-03,Кеджистан,0,0,1
2218-12-04,Кеджистан,0,0,0
2218-12-05,Кеджистан,0,0,0
2218-12-06,Кеджистан,0,0,0
2218-12-07,Кеджистан,0,0,0
2218-12-08,Кеджистан,0,0,0
2218-12-09,Кеджистан,1,0,0
2218-12-10,Кеджистан,0,0,0
2218-12-11,Кеджистан,0,0,0
2218-12-12,Кеджистан,0,0,0
2218-12-13,Кеджистан,0,1,0
2218-12-14,Кеджистан,0,0,0
2218-12-15,Кеджистан,0,1,0
2218-12-16,Кеджистан,0,0,1
2218-12-17,Кеджистан,0,0,0
2218-12-18,Кеджистан,0,0,1
2218-12-19,Кеджистан,0,0,0
2218-12-20,Кеджистан,0,0,0
2218-12-21,Кеджистан,0,0,0
2218-12-22,Кеджистан,0,0,0
2218-12-23,Кеджистан,0,1,0
2218-12-24,Кеджистан,0,0,0
2218-12-25,Кеджистан,0,0,0
2218-12-26,Кеджистан,0,0,0
